Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Jordan Hall,SAS,21,9,1,8,9.2,3.1,1.0,3.1,32.1,0.3,1.7,20.0,0.8,1.0,77.8,0.3,1.0,1.3,1.2,0.8,0.1,0.0,0.7,6.1,0.0,0.0,-2.7
Richaun Holmes,SAC,29,42,22,20,8.3,3.1,1.3,2.1,61.8,0.1,0.2,62.5,0.4,0.5,78.9,0.7,1.2,1.9,0.2,0.3,0.1,0.3,1.2,6.4,1.0,0.0,-1.6
Josh Minott,MIN,20,15,7,8,6.4,3.1,1.2,2.4,50.0,0.1,0.4,33.3,0.5,0.5,100,0.3,1.3,1.7,0.3,0.2,0.3,0.4,0.7,7.4,1.0,0.0,1.6
Robin Lopez,CLE,35,37,25,12,8.1,3.0,1.3,2.0,64.0,0.1,0.1,50.0,0.4,0.5,77.8,0.6,0.8,1.4,0.5,0.7,0.1,0.2,1.2,5.6,0.0,0.0,-1.6
Jacob Gilyard,MEM,24,1,0,1,40.8,3.0,1.0,3.0,33.3,1.0,3.0,33.3,0.0,0.0,0.0,0.0,4.0,4.0,7.0,2.0,3.0,0.0,3.0,25.3,0.0,0.0,-13.0
Jake LaRavia,MEM,21,35,22,13,11.8,3.0,1.1,2.7,38.9,0.7,2.0,33.8,0.2,0.3,77.8,0.5,1.3,1.8,0.6,0.5,0.3,0.1,1.4,6.9,0.0,0.0,-2.2
Jamaree Bouyea,WAS,24,5,2,3,14.1,3.0,1.2,2.8,42.9,0.4,1.2,33.3,0.2,0.4,50.0,0.2,1.0,1.2,0.8,0.8,0.8,0.4,1.2,8.4,0.0,0.0,-3.4
Trevelin Queen,IND,26,7,2,5,10.0,3.0,1.0,4.1,24.1,0.3,2.1,13.3,0.7,0.7,100,1.1,1.3,2.4,0.9,1.0,0.3,0.7,0.6,9.2,0.0,0.0,2.0
Tyler Dorsey,DAL,27,3,2,1,2.8,3.0,1.3,1.7,80.0,0.3,0.7,50.0,0.0,0.0,0.0,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.7
Usman Garuba,HOU,21,75,21,54,12.9,3.0,1.1,2.4,48.6,0.3,0.8,40.7,0.4,0.6,61.7,1.6,2.5,4.1,0.9,0.6,0.6,0.4,1.8,11.5,0.0,0.0,-3.4
Juan Toscano-Anderson,UTA,30,52,19,33,13.5,3.0,1.2,2.8,44.8,0.2,0.8,18.6,0.4,0.5,79.2,0.5,1.8,2.4,1.3,0.7,0.3,0.2,1.5,8.6,0.0,0.0,-2.8
Dru Smith,BKN,25,15,7,8,10.6,2.9,1.2,3.0,40.0,0.3,1.3,26.3,0.2,0.2,100,0.1,1.5,1.6,1.5,0.2,0.7,0.3,1.5,9.7,0.0,0.0,-1.9
Jason Preston,LAC,23,14,4,10,8.8,2.9,1.3,2.9,43.9,0.4,1.3,27.8,0.0,0.1,0.0,0.1,1.4,1.6,1.9,0.7,0.1,0.0,0.5,7.4,0.0,0.0,-0.8
Juancho Hernangomez,TOR,27,42,20,22,14.6,2.9,1.1,2.7,42.1,0.4,1.6,25.4,0.2,0.4,56.3,0.6,2.3,2.9,0.6,0.4,0.4,0.1,1.0,8.5,1.0,0.0,0.3
Frank Ntilikina,DAL,24,47,20,27,12.9,2.9,1.0,2.8,36.4,0.4,1.4,25.4,0.5,0.7,66.7,0.1,1.2,1.3,1.2,0.6,0.3,0.1,1.4,7.2,0.0,0.0,0.7
Terry Taylor,CHI,23,31,13,18,8.5,2.9,1.3,2.4,52.0,0.2,0.6,26.3,0.2,0.4,54.5,0.9,0.6,1.5,0.3,0.3,0.1,0.2,0.8,5.8,0.0,0.0,0.6
Carlik Jones,CHI,25,7,4,3,8.0,2.9,0.9,2.1,40.0,0.4,0.9,50.0,0.7,1.1,62.5,0.1,0.6,0.7,0.9,0.3,0.3,0.0,0.3,5.6,0.0,0.0,3.7
James Johnson,IND,36,18,7,11,9.0,2.8,1.2,2.7,44.9,0.2,0.8,20.0,0.2,0.4,50.0,0.2,1.4,1.7,0.8,0.4,0.4,0.3,1.8,7.8,0.0,0.0,-0.4
